# prefix	crate   (longest prefix wins)
rust/sql-nio	x-dropped
src/oblib/easy	x-dropped
src/oblib/lib/codec	x-dropped
src/oblib/lib	ob-base
src/oblib/lib/thread	ob-runtime
src/oblib/lib/task	ob-runtime
src/oblib/lib/oblog	ob-runtime
src/oblib/lib/stat	ob-runtime
src/oblib/lib/statistic_event	ob-runtime
src/oblib/lib/wait_event	ob-runtime
src/oblib/lib/trace	ob-runtime
src/oblib/lib/profile	ob-runtime
src/oblib/lib/metrics	ob-runtime
src/oblib/lib/file	ob-runtime
src/oblib/lib/restore	ob-runtime
src/oblib/lib/net	ob-runtime
src/oblib/lib/future	ob-runtime
src/oblib/lib/signal	ob-runtime
src/oblib/lib/compress	ob-runtime
src/oblib/lib/charset	ob-values
src/oblib/lib/vector	ob-values-doc
src/oblib/rpc	ob-runtime
src/share/io	ob-runtime
src/share/cache	ob-runtime
src/share/config	ob-runtime
src/share/parameter	ob-runtime
src/share/rc	ob-runtime
src/share/allocator	ob-runtime
src/share/resource_limit_calculator	ob-runtime
src/share/interrupt	ob-runtime
src/share/diagnosis	ob-runtime
src/share/leak_checker	ob-runtime
src/share/longops_mgr	ob-runtime
src/storage/scheduler	ob-runtime
src/data_plane/api/data_plane/scheduler	ob-runtime
src/oblib/common	ob-values
src/oblib/common/json_type	ob-values-doc
src/oblib/common/xml	ob-values-doc
src/oblib/common/udt	ob-values-doc
src/oblib/common/mysqlclient	ob-share
src/share/datum	ob-values
src/share/object	ob-values
src/share/aggregate	ob-values
src/share/lob	ob-values
src/share/json	ob-values-doc
src/share/semistruct	ob-values-doc
src/share/roaringbitmap	ob-values-doc
src/share/vector	ob-values-doc
src/share	ob-share
src/oblib/grpc	ob-share
src/share/schema	ob-schema
src/share/inner_table	ob-schema
gen/share	ob-schema
src/share/system_variable	ob-schema
src/observer/schema	ob-schema
src/share/geo	ob-geo-sys
src/logservice	ob-log
src/share/log	ob-log
src/data_plane	storage-core
src/storage/tx	storage-core
src/storage/tx_table	storage-core
src/storage/memtable	storage-core
src/storage/multi_data_source	storage-core
src/storage/tablet	storage-core
src/storage/meta_mem	storage-core
src/storage/concurrency_control	storage-core
src/storage/allocator	storage-core
src/storage/throttle	storage-core
src/storage/deadlock	storage-core
src/storage/blocksstable	storage-sstable
src/storage/blockstore	storage-sstable
src/storage/tmp_file	storage-sstable
src/storage/access	storage-access
src/storage/lob	storage-access
src/storage/truncate_info	storage-access
src/storage	storage-engine
src/data_plane/api/data_plane/vector	storage-search
src/data_plane/api/data_plane/fts	storage-search
src/data_plane/api/data_plane/retrieval	storage-search
src/storage/fts	storage-search
src/storage/retrieval	storage-search
src/storage/vector_index	storage-search
src/storage/vector_type	storage-search
src/storage/api	storage-search
src/objit	sql-ir
src/query	sql-exec
src/query/api/query/parser	sql-parser
src/query/api/query/optimizer	sql-optimizer
src/query/api/query/vector	sql-das
src/query/vector	sql-das
src/sql/session	sql-session
src/sql/resolver/expr	sql-ir
src/sql/resolver/dml/ob_dml_stmt	sql-ir
src/sql/resolver/dml/ob_select_stmt	sql-ir
src/sql/resolver/dml/ob_insert_stmt	sql-ir
src/sql/resolver/dml/ob_update_stmt	sql-ir
src/sql/resolver/dml/ob_delete_stmt	sql-ir
src/sql/resolver/dml/ob_del_upd_stmt	sql-ir
src/sql/resolver/dml/ob_stmt_expr_visitor	sql-ir
src/sql/resolver	sql-resolver
src/sql/engine	sql-engine
src/sql/engine/ob_	sql-exec
src/sql/engine/expr/ob_expr_frame_info	sql-exec
src/sql/engine/basic/ob_pushdown_filter	sql-exec
src/sql/code_generator	sql-exec
src/sql/engine/expr	sql-expr
src/sql/engine/px	sql-px
src/sql/dtl	sql-px
src/sql/engine/cmd	sql
src/sql/das	sql-das
src/sql/rewrite	sql-rewrite
src/sql/optimizer	sql-optimizer
src/sql/parser	sql-parser
src/sql	sql
src/sql/pl	pl
src/pl	pl
src/rootserver	rootserver
src/observer	observer
src/observer/virtual_table	observer-vt
gen/observer	observer-vt
src/observer/vector_index	observer
src/standby	standby
